Species,Category
13-Spot Ladybird,Beetles
5 Spot Ladybird,Beetles
African Buffalo,Ungulates
African Bush Elephant,Mammals
African Crested Porcupine ,Mammals
African Fish Eagle,Birds
African Grass Blue Butterfly,Butterflies
African Harrier-Hawk,Birds
African Pied Wagtail,Birds
African Pygmy Falcon,Birds
African Serval,Cats
African Spring Hare,Mammals
African Tulip Tree,Trees
Aldabra Giant Tortoise,Reptiles
Andouin's Gull,Birds
Arctic Tern,Birds
Ashy Starling,Birds
Augur Buzzard,Birds
Azure Damselfly,Damselflies
Baboon,Primates
Baglaflecht Weaver (Reichenowi),Birds
Banded Demoiselle,Damselflies
Bank Vole,Rodents
Bat-Eared Fox,Dog Family
Beach Cabbage,Flora
Beautiful Demoiselle,Damselflies
Beech,Trees
Bewick's Swan,Birds
Bindweed,Flora
Black Garden Ant,Ants
Black Grouse,Birds
Black Tailed Skimmer Dragonfly,Dragonflies
Black-And-White Colobus Monkey,Primates
Black-Backed Jackal,Dog Family
Black-Crowned Crane,Birds
Black-Headed Gull,Birds
Black-Headed Heron,Birds
Blackbird,Birds
Blackcap,Birds
Blackthorn,Trees
Blue Tit,Birds
Bluebell,Flora
Bojer's Skink,Reptiles
Bramble,Flora
Brimstone Butterfly,Butterflies
Brimstone Moth,Moths
Broad-Bodied Chaser,Dragonflies
Brown Hawker Dragonfly,Dragonflies
Brown Rat,Rodents
Buddleia,Shrubs
Buff-Tailed Bumblebee,Bees
Bugle,Flora
Bullfinch,Birds
Bulrush,Flora
Bumblebee,Bees
Burdock,Flora
Buttercup,Flora
Buzzard,Birds
Canada Goose,Birds
Candelabra Euphorbia,Trees
Cardinal Beetle,Beetles
Cats Ear,Flora
Cattle Egret,Birds
Chaffinch,Birds
Cheetah,Cats
Chiffchaff,Birds
Cicada,Insects
Cinnabar Moth,Moths
Clover,Flora
Coal Tit,Birds
Coco De Mer,Trees
Coco De Mer Snail,Molluscs
Collared Dove,Birds
Colts Foot,Flora
Comma Butterfly,Butterflies
Common Bird’s-Foot Trefoil,Flora
Common Bleak,Fish
Common Blue Butterfly,Butterflies
Common Bulbul,Birds
Common Burdock,Flora
Common Cleavers,Flora
Common Comfrey,Flora
Common Darter Dragonfly,Dragonflies
Common Dog-Violet,Flora
Common Field Speedwell,Flora
Common Fleabane,Flora
Common Frog,Amphibians
Common Green Lacewing,Flies
Common Green Tiger Beetle,Beetles
Common Ground Hopper,Insects
Common Gull,Birds
Common Heather,Shrubs
Common Impala,Ungulates
Common Kestrel,Birds
Common Knapweed,Flora
Common Leopard Butterfly,Butterflies
Common Mallow,Flora
Common Mayfly,Flies
Common Myna,Birds
Common Ostrich,Birds
Common Poppy,Flora
Common Redstart,Birds
Common Reedbuck,Ungulates
Common Roach,Fish
Common Sandpiper,Birds
Common Spotted Orchid,Flora
Common Starling,Birds
Common Tern,Birds
Common Topi,Ungulates
Common Vetch,Flora
Common Warthog,Mammals
Common Wasp,Wasps
Common Waterbuck,Ungulates
Common Wildebeest,Ungulates
Common Woodlouse,Invertebrates
Common Yarrow,Flora
Coot,Birds
Copper Beach,Trees
Cormorant,Birds
Corn Chamomile,Flora
Cornflower,Flora
Cow Parsley,Flora
Cowslip,Flora
Crab Apple,Trees
Crane Fly,Flies
